timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6355515,-0.02,-0.07,1.01,1.53,3.17,1.89,939.76,20.93,
6355553,-0.03,-0.07,1.02,1.71,2.81,1.95,939.75,20.92,
6355591,-0.03,-0.07,1.03,1.65,2.75,2.08,939.76,20.92,
6355630,-0.03,-0.07,1.05,1.28,2.69,2.01,939.8,20.93,
6355668,-0.02,-0.07,1.04,1.28,2.75,2.01,939.79,20.92,
6355706,-0.02,-0.07,1.05,1.1,2.38,1.95,939.82,20.92,
6355756,-0.02,-0.07,1.06,0.85,2.93,2.2,939.76,20.9,
6355795,-0.03,-0.07,1.06,0.79,2.87,2.2,939.83,20.91,
6355833,-0.02,-0.07,1.07,0.61,2.75,2.38,939.87,20.93,
6355871,-0.02,-0.07,1.04,0.43,2.75,2.26,939.89,20.9,
6355910,-0.02,-0.06,1.02,0.37,4.15,2.26,939.86,20.92,
6355948,-0.02,-0.07,1.04,0.67,3.66,2.5,939.84,20.92,
6355986,-0.03,-0.07,1.06,1.04,3.72,2.5,939.89,20.92,
6356025,-0.03,-0.07,1.07,0.61,3.48,2.56,939.92,20.92,
6356063,-0.02,-0.06,1.13,0.85,3.3,2.5,939.92,20.93,
6356101,-0.01,-0.07,1.12,0.92,2.87,2.62,939.94,20.93,
6356151,-0.03,-0.06,1.14,0.98,2.14,2.69,939.96,20.91,
6356189,-0.02,-0.07,1.15,1.04,2.2,2.69,939.97,20.93,
6356228,-0.01,-0.06,1.13,1.22,1.95,2.81,939.94,20.93,
6356266,-0.02,-0.06,1.14,1.4,1.83,2.69,940.06,20.93,
6356304,-0.03,-0.07,1.09,1.4,2.14,2.81,940.03,20.92,
6356343,-0.02,-0.06,1.12,1.77,1.89,2.87,940.07,20.92,
6356381,-0.01,-0.07,1.03,1.16,1.59,2.75,940.01,20.92,
6356419,-0.03,-0.06,1.09,1.65,0.73,2.81,940.07,20.93,
6356457,-0.02,-0.08,1.07,1.65,2.08,2.99,940.03,20.92,
6356507,-0.03,-0.07,1.11,1.95,2.2,3.17,940.06,20.92,
6356546,-0.01,-0.07,1.07,1.04,2.99,2.75,940.05,20.92,
6356584,-0.02,-0.07,1.1,0.98,2.56,2.99,940.07,20.92,
6356622,-0.02,-0.07,1.12,0.55,3.6,2.87,940.07,20.92,
6356661,-0.03,-0.07,1.13,0.85,2.87,2.75,940.12,20.92,
6356699,-0.01,-0.07,1.15,0.92,3.05,2.81,940.11,20.92,
6356737,0.0,-0.07,1.1,0.67,3.42,2.69,940.11,20.93,
6356775,-0.02,-0.06,1.13,0.92,2.75,2.75,940.15,20.93,
6356814,-0.01,-0.07,1.12,0.92,2.81,2.87,940.11,20.92,
6356852,-0.0,-0.07,1.14,1.1,1.4,2.69,940.07,20.93,
6356928,-0.01,-0.06,1.15,0.98,0.79,3.11,940.21,20.9,
6356966,0.0,-0.07,1.16,0.67,0.85,2.69,940.14,20.9,
6357005,-0.02,-0.07,1.16,0.98,0.73,2.62,940.19,20.89,
6357094,-0.02,-0.07,1.1,0.55,2.26,2.62,940.14,20.88,
6357133,0.0,-0.07,1.1,0.61,2.5,2.62,940.18,20.9,
6357171,-0.01,-0.08,1.09,0.55,2.44,2.44,940.18,20.89,
6357209,-0.01,-0.07,1.07,0.67,2.87,2.32,940.19,20.91,
6357248,0.02,-0.07,1.1,1.1,3.11,2.08,940.22,20.9,
6357286,-0.01,-0.08,1.0,0.79,4.52,2.14,940.27,20.91,
6357324,-0.01,-0.07,1.03,1.4,4.33,1.95,940.21,20.9,
6357374,-0.0,-0.08,0.93,0.98,6.77,1.59,940.22,20.9,
6357413,-0.01,-0.06,0.99,1.59,5.37,1.46,940.22,20.91,
6357451,0.01,-0.09,0.88,1.4,8.18,1.46,940.23,20.91,
6357489,0.01,-0.07,0.9,1.4,8.3,0.98,940.24,20.92,
6357527,0.01,-0.08,0.88,2.01,8.24,0.98,940.24,20.91,
6357566,-0.0,-0.08,0.85,1.16,7.93,0.61,940.23,20.92,
6357604,0.01,-0.08,0.86,1.28,9.09,0.49,940.24,20.92,
6357642,-0.01,-0.09,0.85,0.67,9.16,0.43,940.23,20.92,
6357681,0.01,-0.09,0.97,1.4,7.26,0.18,940.22,20.92,
6357719,-0.01,-0.09,0.99,0.37,8.48,0.24,940.26,20.92,
6357769,0.01,-0.06,1.14,0.61,6.53,0.12,940.29,20.91,
6357807,0.01,-0.08,1.05,-0.12,6.77,0.12,940.31,20.92,
6357845,-0.04,-0.05,1.12,-0.18,4.03,0.12,940.29,20.91,
6357884,-0.02,-0.09,1.11,-0.24,4.27,0.12,940.27,20.92,
6357922,-0.01,-0.07,1.1,-0.67,2.75,-0.06,940.29,20.91,
6357960,-0.01,-0.06,1.12,0.31,1.95,0.0,940.32,20.92,
6357998,-0.03,-0.08,1.0,-0.61,2.93,0.0,940.26,20.92,
6358037,-0.01,-0.06,1.09,0.0,1.71,-0.12,940.32,20.92,
6358075,-0.02,-0.08,1.03,-0.37,2.56,-0.31,940.35,20.92,
6358125,-0.04,-0.06,1.09,0.49,1.83,-0.37,940.31,20.9,
6358163,-0.01,-0.08,1.08,0.31,3.48,-0.43,940.35,20.92,
6358201,-0.01,-0.07,1.11,0.67,2.44,-0.61,940.36,20.92,
6358240,-0.02,-0.08,1.06,0.73,2.38,-0.55,940.34,20.92,
6358278,-0.04,-0.06,1.08,0.92,1.71,-0.61,940.35,20.92,
6358316,-0.02,-0.07,1.06,1.16,2.75,-0.79,940.38,20.92,
6358355,-0.03,-0.07,0.98,0.92,1.89,-0.73,940.36,20.92,
6358393,-0.04,-0.07,1.05,1.65,1.28,-0.85,940.47,20.92,
6358431,-0.02,-0.08,0.98,1.34,2.62,-0.85,940.42,20.92,
6358469,-0.02,-0.08,1.03,2.01,1.89,-1.1,940.44,20.93,
6358519,-0.02,-0.08,0.95,2.2,1.95,-1.04,940.42,20.91,
6358558,-0.05,-0.07,0.98,2.75,1.46,-1.04,940.37,20.92,
6358596,-0.03,-0.07,0.94,2.44,2.01,-1.1,940.44,20.92,
6358634,-0.03,-0.08,0.97,2.81,0.55,-1.22,940.42,20.93,
6358673,-0.04,-0.08,0.97,2.75,0.24,-0.92,940.42,20.92,
6358711,-0.03,-0.08,0.98,2.87,-0.49,-1.04,940.44,20.92,
