timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
4545536,-0.04,-0.07,0.97,2.38,3.91,-0.12,872.44,32.85
4545574,-0.04,-0.06,0.97,2.56,4.76,-0.12,872.48,32.85
4545612,-0.04,-0.07,0.93,2.62,4.52,-0.24,872.45,32.85
4545651,-0.05,-0.07,0.93,2.69,4.46,-0.24,872.4,32.85
4545689,-0.05,-0.07,0.89,2.81,4.94,-0.18,872.39,32.85
4545727,-0.04,-0.07,0.93,2.87,4.58,-0.37,872.43,32.87
4545765,-0.04,-0.07,0.91,2.99,5.8,-0.31,872.4,32.86
4545815,-0.04,-0.07,0.95,2.99,5.31,-0.24,872.38,32.85
4545853,-0.03,-0.08,0.95,2.87,6.47,-0.37,872.39,32.86
4545891,-0.05,-0.06,0.97,2.62,5.31,-0.24,872.37,32.87
4545929,-0.04,-0.06,0.99,2.93,5.74,-0.31,872.4,32.87
4545967,-0.04,-0.07,0.95,2.5,5.43,-0.49,872.4,32.86
4546005,-0.04,-0.07,0.98,2.26,4.88,-0.37,872.4,32.86
4546043,-0.03,-0.08,0.92,2.08,4.76,-0.37,872.37,32.87
4546082,-0.04,-0.06,0.92,1.83,4.33,-0.43,872.37,32.88
4546120,-0.04,-0.07,0.89,1.65,4.39,-0.31,872.35,32.87
4546169,-0.05,-0.07,0.9,1.53,3.05,-0.31,872.37,32.86
4546208,-0.03,-0.08,0.88,1.53,3.23,-0.24,872.38,32.87
4546246,-0.04,-0.07,0.87,1.34,2.62,-0.24,872.32,32.88
4546284,-0.04,-0.07,0.9,1.46,2.75,-0.31,872.37,32.89
4546322,-0.04,-0.07,0.89,1.28,2.93,-0.31,872.33,32.88
4546360,-0.05,-0.06,0.97,1.22,2.2,-0.31,872.28,32.87
4546398,-0.06,-0.07,0.98,1.04,2.01,-0.24,872.28,32.89
4546436,-0.04,-0.05,1.06,0.49,1.1,-0.24,872.22,32.87
4546474,-0.03,-0.05,1.1,0.61,2.2,-0.37,872.27,32.89
4546513,-0.06,-0.07,1.1,0.73,2.01,-0.49,872.25,32.87
4546562,-0.04,-0.06,1.15,0.98,2.99,-0.37,872.32,32.87
4546600,-0.04,-0.07,1.12,1.46,4.03,-0.61,872.22,32.86
4546639,-0.04,-0.06,1.06,1.59,4.09,-0.55,872.28,32.86
4546677,-0.05,-0.06,1.08,1.53,3.72,-0.49,872.29,32.86
4546715,-0.06,-0.07,1.01,1.83,4.64,-0.73,872.24,32.86
4546753,-0.05,-0.06,1.07,1.77,4.88,-0.92,872.26,32.86
4546791,-0.03,-0.07,1.03,1.95,5.74,-0.85,872.23,32.87
4546829,-0.05,-0.06,1.05,2.01,5.19,-0.79,872.21,32.87
4546867,-0.06,-0.06,1.05,2.14,6.53,-1.1,872.26,32.85
4546917,-0.04,-0.07,1.04,1.89,7.45,-0.98,872.25,32.84
4546955,-0.04,-0.07,1.03,2.01,7.08,-0.98,872.21,32.86
4546994,-0.06,-0.06,1.0,2.01,6.47,-1.1,872.22,32.87
4547032,-0.07,-0.07,0.96,1.71,7.39,-0.92,872.16,32.86
4547070,-0.06,-0.06,0.94,1.4,5.19,-0.85,872.13,32.86
4547108,-0.09,-0.07,0.91,1.34,5.98,-0.73,872.16,32.85
4547146,-0.07,-0.07,0.93,0.98,4.39,-0.49,872.2,32.87
4547184,-0.06,-0.06,0.98,0.55,4.03,-0.49,872.13,32.85
4547222,-0.08,-0.07,0.95,0.49,3.66,-0.43,872.14,32.85
4547261,-0.08,-0.07,0.97,0.31,3.17,-0.37,872.15,32.86
4547310,-0.08,-0.07,0.93,0.24,4.21,-0.18,872.12,32.83
4547349,-0.06,-0.06,0.98,0.18,3.66,-0.06,872.12,32.83
4547387,-0.08,-0.06,0.96,0.55,3.54,0.24,872.19,32.86
4547425,-0.06,-0.07,1.0,0.61,2.5,0.24,872.08,32.85
4547463,-0.06,-0.07,1.0,0.85,2.5,0.43,872.12,32.85
4547501,-0.06,-0.07,0.98,0.43,1.04,0.85,872.08,32.85
4547539,-0.06,-0.07,1.0,0.18,0.49,0.79,872.08,32.85
4547578,-0.06,-0.06,1.02,-0.06,-0.12,0.92,872.08,32.83
4547616,-0.06,-0.06,1.04,-0.12,0.73,1.34,872.04,32.83
4547691,-0.06,-0.05,1.09,0.18,1.95,0.98,872.06,32.8
4547730,-0.07,-0.05,1.1,0.67,3.6,1.04,872.09,32.82
4547768,-0.05,-0.06,1.13,1.46,6.16,1.46,872.03,32.81
4547857,-0.06,-0.04,1.1,2.93,11.78,1.4,871.96,32.79
4547895,-0.05,-0.05,1.08,3.54,13.18,1.53,871.93,32.81
4547933,-0.07,-0.06,1.09,3.85,14.53,1.59,871.9,32.81
4547972,-0.07,-0.06,1.08,4.21,16.05,1.83,871.97,32.82
4548010,-0.05,-0.06,1.11,4.7,16.36,1.95,871.91,32.83
4548048,-0.05,-0.06,1.07,4.94,17.4,2.5,871.89,32.83
4548086,-0.04,-0.05,1.04,4.88,17.82,2.81,871.93,32.83
4548136,-0.04,-0.07,1.0,5.31,19.04,3.05,871.93,32.8
4548174,-0.05,-0.08,0.94,4.88,19.47,3.17,871.87,32.81
4548212,-0.04,-0.05,0.94,4.94,19.35,3.48,871.89,32.83
4548250,-0.03,-0.07,0.93,4.58,19.84,3.6,871.81,32.83
4548289,-0.0,-0.08,0.91,3.85,19.96,3.85,871.84,32.84
4548327,-0.02,-0.07,0.91,3.36,19.23,4.09,871.84,32.83
4548365,-0.01,-0.08,0.91,2.81,19.59,4.09,871.77,32.83
4548403,-0.01,-0.07,0.88,2.08,18.68,4.15,871.86,32.83
4548441,-0.0,-0.07,0.93,1.59,17.15,4.39,871.85,32.83
4548491,0.02,-0.09,0.92,0.92,15.32,4.52,871.88,32.82
4548529,0.03,-0.08,1.0,0.18,14.59,4.39,871.87,32.81
4548567,0.02,-0.07,1.01,-0.06,13.43,4.33,871.88,32.81
4548605,0.01,-0.07,1.06,0.18,11.17,4.39,871.83,32.8
4548643,0.02,-0.08,1.05,0.31,11.35,4.21,871.87,32.81
4548682,0.01,-0.08,1.07,0.73,10.13,3.72,871.93,32.81
4548720,0.01,-0.07,1.04,1.04,10.13,3.54,871.89,32.81
4548758,0.02,-0.07,1.03,1.28,9.22,3.23,871.87,32.8
4548796,0.02,-0.07,1.04,1.28,9.64,2.81,871.87,32.8
4548834,0.02,-0.07,0.99,1.04,10.56,2.62,871.85,32.81
4548884,0.02,-0.07,1.01,0.73,10.99,2.26,871.8,32.79
4548922,0.03,-0.09,1.01,0.24,11.29,1.71,871.82,32.8
4548960,0.03,-0.06,1.02,-0.43,11.54,1.65,871.77,32.8
4548998,0.02,-0.07,1.03,-0.49,12.76,1.04,871.71,32.79
4549036,0.02,-0.07,1.07,-0.67,11.78,0.79,871.71,32.8
4549075,0.03,-0.07,1.12,-0.73,13.06,0.43,871.7,32.81
4549113,0.03,-0.07,1.11,-0.43,13.79,0.31,871.69,32.83
4549151,0.04,-0.08,1.1,-0.43,14.47,-0.24,871.7,32.82
4549189,0.04,-0.08,1.1,-0.61,13.55,-0.31,871.63,32.81
4549239,0.04,-0.06,1.13,-0.37,13.73,-0.49,871.68,32.8
4549277,0.05,-0.07,1.07,-0.85,14.1,-0.61,871.64,32.8
4549315,0.03,-0.07,1.12,-1.04,13.43,-0.92,871.63,32.8
4549354,0.04,-0.07,1.1,-1.1,13.31,-1.1,871.66,32.8
4549392,0.03,-0.07,1.11,-1.34,13.18,-1.4,871.69,32.8
4549430,0.04,-0.07,1.12,-1.34,13.0,-1.59,871.71,32.79
4549468,0.03,-0.07,1.12,-1.46,12.51,-1.77,871.69,32.82
4549506,0.05,-0.06,1.13,-1.77,12.63,-1.89,871.64,32.81
4549544,0.05,-0.07,1.13,-2.14,12.88,-2.26,871.61,32.8
4549582,0.05,-0.05,1.16,-2.26,11.84,-2.56,871.61,32.8
4549632,0.05,-0.07,1.18,-2.62,12.39,-2.87,871.66,32.82
4549670,0.04,-0.06,1.21,-2.69,11.84,-3.3,871.57,32.81
4549709,0.03,-0.06,1.2,-2.75,12.45,-3.6,871.64,32.81
4549747,0.05,-0.06,1.17,-2.75,13.0,-3.72,871.54,32.81
4549785,0.04,-0.06,1.17,-2.75,13.43,-4.27,871.59,32.8
4549823,0.04,-0.06,1.14,-2.62,14.1,-4.52,871.62,32.82
4549861,0.06,-0.06,1.15,-2.69,14.4,-4.76,871.6,32.81
4549899,0.05,-0.06,1.14,-2.5,14.47,-5.0,871.56,32.81
4549938,0.05,-0.07,1.12,-2.56,14.22,-5.43,871.55,32.81
4549988,0.04,-0.07,1.1,-2.87,14.28,-5.92,871.59,32.82
4550026,0.07,-0.06,1.11,-2.62,12.76,-6.16,871.47,32.81
4550064,0.07,-0.06,1.06,-2.99,12.7,-6.53,871.53,32.81
4550102,0.06,-0.06,1.05,-3.23,11.05,-6.84,871.47,32.81
4550140,0.06,-0.06,1.06,-3.11,10.44,-7.32,871.45,32.82
4550178,0.06,-0.07,1.05,-3.36,9.34,-7.57,871.51,32.83
4550217,0.05,-0.07,1.06,-3.42,8.0,-8.18,871.44,32.83
4550255,0.05,-0.07,1.07,-3.11,7.51,-8.54,871.48,32.83
4550293,0.06,-0.06,1.05,-3.36,6.84,-9.09,871.43,32.83
4550343,0.05,-0.06,1.04,-3.36,6.65,-9.77,871.48,32.82
4550381,0.04,-0.06,1.02,-3.36,6.59,-10.13,871.48,32.81
4550419,0.04,-0.05,1.07,-3.42,6.35,-10.56,871.46,32.83
4550457,0.04,-0.06,1.07,-3.54,7.14,-10.99,871.39,32.83
4550495,0.03,-0.06,1.08,-3.54,7.2,-11.72,871.4,32.82
4550533,0.04,-0.06,1.11,-3.78,7.08,-12.15,871.41,32.82
4550572,0.03,-0.05,1.12,-4.03,7.08,-12.27,871.34,32.82
4550610,0.01,-0.05,1.09,-4.52,6.77,-12.39,871.39,32.81
4550648,-0.0,-0.05,1.03,-4.7,7.2,-12.82,871.37,32.81
4550686,0.0,-0.04,1.1,-4.88,6.65,-12.94,871.35,32.83
4550762,0.0,-0.04,1.14,-5.37,6.1,-13.43,871.32,32.79
4550800,-0.01,-0.03,1.19,-5.31,6.41,-13.73,871.3,32.79
4550838,0.01,-0.04,1.22,-5.68,6.41,-13.67,871.34,32.8
4550928,-0.04,-0.01,1.24,-5.74,6.29,-13.85,871.31,32.78
4550966,-0.03,-0.01,1.27,-5.86,6.23,-13.92,871.32,32.8
4551004,-0.03,0.0,1.3,-5.86,5.98,-14.16,871.27,32.79
4551042,-0.03,0.01,1.33,-5.98,5.74,-13.85,871.26,32.81
4551081,-0.03,-0.01,1.34,-5.86,6.29,-13.92,871.24,32.8
4551119,-0.03,0.0,1.37,-5.62,5.86,-13.73,871.23,32.81
4551169,-0.05,0.0,1.34,-5.31,5.98,-13.49,871.25,32.81
4551207,-0.04,-0.0,1.34,-5.37,5.43,-13.37,871.22,32.81
4551245,-0.04,-0.0,1.31,-5.0,5.37,-13.31,871.24,32.81
4551283,-0.05,0.01,1.3,-5.0,5.07,-13.06,871.12,32.8
4551321,-0.05,0.0,1.3,-5.0,5.74,-12.94,871.15,32.82
4551359,-0.05,-0.0,1.31,-4.82,6.04,-13.0,871.18,32.81
4551397,-0.05,-0.01,1.31,-5.0,6.29,-12.88,871.14,32.81
4551436,-0.05,-0.02,1.27,-4.94,6.84,-12.82,871.17,32.82
4551474,-0.06,0.0,1.25,-4.94,7.2,-12.7,871.15,32.81
4551523,-0.05,-0.0,1.24,-4.46,8.12,-12.63,871.11,32.81
4551562,-0.06,-0.0,1.22,-4.52,7.51,-12.45,871.09,32.82
4551600,-0.07,-0.0,1.25,-4.15,7.69,-11.96,871.1,32.82
4551638,-0.06,-0.02,1.21,-4.39,8.36,-12.02,871.04,32.83
4551676,-0.06,-0.0,1.24,-5.0,7.2,-11.9,871.07,32.83
4551714,-0.07,-0.0,1.24,-4.82,7.39,-11.23,870.97,32.84
4551752,-0.07,-0.02,1.21,-5.13,7.02,-11.29,871.02,32.85
4551790,-0.06,0.0,1.22,-5.19,6.71,-10.99,871.02,32.85
4551829,-0.07,-0.01,1.18,-5.37,5.98,-10.38,871.08,32.86
4551878,-0.08,-0.01,1.18,-5.49,5.37,-9.95,870.97,32.83
4551917,-0.07,-0.01,1.19,-5.43,5.19,-9.83,870.97,32.83
4551955,-0.08,-0.0,1.2,-5.49,4.58,-9.46,870.93,32.83
4551993,-0.07,-0.0,1.19,-5.55,4.15,-9.16,870.89,32.83
4552031,-0.08,-0.0,1.18,-5.62,3.48,-8.79,870.91,32.83
4552069,-0.07,-0.01,1.17,-5.68,2.81,-8.79,870.92,32.82
4552107,-0.08,0.0,1.16,-5.74,1.89,-8.24,870.91,32.83
4552145,-0.07,-0.01,1.13,-5.74,1.53,-7.93,870.87,32.81
4552184,-0.07,-0.01,1.1,-5.8,1.34,-7.63,870.94,32.83
4552222,-0.08,-0.01,1.1,-5.68,1.16,-7.51,870.9,32.83
4552272,-0.06,-0.02,1.06,-5.68,1.16,-7.2,870.83,32.8
4552310,-0.07,-0.02,1.05,-5.49,1.28,-7.14,870.85,32.83
4552348,-0.07,-0.01,1.09,-5.49,2.5,-6.96,870.86,32.83
4552386,-0.06,-0.0,1.12,-5.55,2.56,-7.02,870.79,32.81
4552424,-0.07,0.01,1.16,-5.62,3.23,-6.84,870.82,32.82
4552462,-0.07,0.01,1.23,-5.37,3.36,-6.9,870.79,32.8
4552501,-0.08,0.02,1.3,-5.19,4.94,-6.65,870.78,32.81
4552539,-0.05,0.02,1.33,-4.76,5.49,-6.53,870.76,32.81
4552577,-0.07,0.03,1.37,-4.21,6.41,-6.29,870.79,32.81
4552627,-0.07,0.02,1.33,-3.6,7.87,-5.92,870.8,32.8
4552665,-0.07,0.04,1.34,-3.17,8.0,-5.92,870.79,32.81
4552703,-0.06,0.02,1.32,-2.69,8.67,-5.74,870.86,32.81
4552741,-0.06,0.02,1.32,-2.5,8.67,-5.43,870.77,32.81
4552779,-0.06,0.02,1.3,-2.14,9.64,-5.13,870.79,32.82
4552817,-0.05,0.01,1.32,-1.65,9.7,-5.07,870.78,32.82
4552856,-0.04,0.02,1.3,-1.53,9.83,-5.0,870.8,32.81
4552894,-0.05,0.02,1.3,-1.22,10.44,-4.58,870.78,32.81
4552932,-0.05,0.01,1.28,-1.1,10.68,-4.64,870.76,32.81
4552982,-0.03,0.01,1.26,-1.1,10.62,-4.33,870.77,32.8
4553020,-0.03,0.01,1.25,-0.73,9.83,-4.15,870.79,32.82
4553058,-0.04,-0.0,1.22,-0.73,10.31,-4.03,870.74,32.82
4553096,-0.03,-0.01,1.23,-0.73,10.25,-3.85,870.81,32.82
4553134,-0.03,-0.01,1.23,-0.73,10.13,-3.72,870.73,32.81
4553172,-0.03,-0.01,1.19,-0.79,9.83,-3.66,870.77,32.82
4553210,-0.03,-0.02,1.17,-1.1,9.77,-3.54,870.72,32.82
4553249,-0.02,-0.02,1.14,-1.16,9.7,-3.48,870.74,32.82
4553287,-0.02,-0.02,1.13,-1.46,9.16,-3.3,870.75,32.82
4553325,-0.03,-0.03,1.1,-1.46,9.46,-3.23,870.67,32.82
4553375,-0.01,-0.03,1.09,-1.89,9.16,-3.11,870.7,32.81
4553413,-0.01,-0.04,1.08,-2.01,9.46,-3.17,870.73,32.82
4553451,-0.01,-0.04,1.06,-2.2,8.85,-3.23,870.74,32.82
4553489,-0.01,-0.03,1.05,-2.44,9.09,-3.17,870.75,32.81
4553527,-0.0,-0.03,1.04,-2.93,8.3,-3.36,870.72,32.81
4553565,-0.01,-0.04,1.07,-3.11,7.93,-3.3,870.67,32.82
4553603,-0.01,-0.05,1.04,-3.54,8.18,-3.36,870.62,32.83
4553642,-0.01,-0.03,1.1,-3.78,8.12,-3.54,870.63,32.82
4553680,0.01,-0.03,1.09,-3.91,8.24,-3.54,870.64,32.82
4553755,0.0,-0.03,1.16,-4.15,8.48,-3.6,870.63,32.78
4553794,0.0,-0.03,1.21,-4.27,8.18,-3.85,870.6,32.8
4553832,0.01,-0.01,1.22,-4.52,8.0,-4.03,870.53,32.8
4553921,0.02,-0.02,1.22,-4.58,7.32,-4.21,870.55,32.78
4553959,0.01,-0.02,1.21,-4.58,6.41,-4.21,870.57,32.8
4553997,0.0,-0.03,1.19,-4.64,5.74,-4.33,870.57,32.8
4554036,0.02,-0.03,1.17,-4.39,5.31,-4.39,870.6,32.8
4554074,0.0,-0.01,1.17,-4.46,4.46,-4.64,870.57,32.81
4554112,0.01,-0.03,1.16,-4.52,3.6,-4.76,870.55,32.8
4554162,0.01,-0.02,1.19,-4.46,2.69,-5.07,870.59,32.8
4554200,0.01,-0.03,1.19,-4.46,3.23,-5.0,870.57,32.81
4554238,0.02,-0.03,1.16,-4.7,2.99,-5.13,870.55,32.8
4554276,-0.0,-0.02,1.21,-4.52,2.44,-5.37,870.52,32.8
4554314,0.01,-0.03,1.17,-4.82,2.26,-5.49,870.51,32.8
4554352,0.01,-0.03,1.2,-5.07,2.69,-5.74,870.56,32.82
4554390,0.01,-0.03,1.17,-4.82,3.48,-6.1,870.58,32.81
4554429,0.01,-0.03,1.16,-4.82,2.62,-6.29,870.56,32.82
4554467,0.01,-0.03,1.14,-4.88,2.69,-6.47,870.56,32.81
4554505,0.01,-0.04,1.14,-4.82,1.95,-6.71,870.52,32.81
4554555,0.0,-0.05,1.15,-5.0,2.38,-6.59,870.5,32.78
4554593,0.01,-0.02,1.13,-5.25,0.55,-6.9,870.56,32.81
4554631,0.0,-0.02,1.16,-5.13,0.67,-7.02,870.5,32.8
4554669,0.01,-0.04,1.12,-5.31,0.31,-7.08,870.53,32.82
4554707,0.0,-0.03,1.18,-5.62,0.12,-7.2,870.49,32.81
4554745,-0.01,-0.04,1.13,-5.49,0.37,-7.2,870.56,32.82
4554783,-0.0,-0.03,1.15,-5.49,-0.49,-7.63,870.49,32.82
4554822,0.0,-0.02,1.15,-5.37,-0.49,-7.81,870.51,32.81
4554860,0.01,-0.04,1.11,-5.13,-0.85,-7.69,870.51,32.82
4554910,-0.0,-0.04,1.12,-5.13,0.06,-7.93,870.45,32.8
4554948,0.01,-0.03,1.12,-5.07,-0.12,-8.12,870.46,32.81
4554986,0.0,-0.03,1.14,-5.19,0.55,-8.3,870.48,32.82
4555024,0.01,-0.04,1.08,-5.07,0.37,-8.54,870.5,32.82
4555062,-0.03,-0.04,1.11,-5.07,1.22,-8.61,870.51,32.83
4555100,0.02,-0.04,1.06,-5.25,1.59,-8.91,870.54,32.82
4555138,-0.01,-0.02,1.09,-5.13,0.85,-9.09,870.51,32.81
4555176,0.0,-0.03,1.04,-5.07,1.59,-9.03,870.47,32.8
4555215,-0.01,-0.03,1.05,-5.19,1.04,-9.46,870.49,32.82
4555253,-0.01,-0.03,1.07,-4.94,1.16,-9.46,870.45,32.81
4555302,0.0,-0.03,1.06,-5.37,0.49,-9.7,870.45,32.8
4555341,0.0,-0.03,1.05,-5.49,1.16,-9.64,870.5,32.81
4555379,-0.0,-0.03,1.07,-5.55,1.28,-9.64,870.47,32.81
4555417,0.01,-0.03,1.09,-5.68,1.28,-9.95,870.48,32.8
4555455,-0.01,-0.03,1.1,-5.74,1.34,-9.95,870.48,32.82
4555493,-0.0,-0.03,1.1,-5.68,1.83,-10.13,870.45,32.81
4555531,0.0,-0.02,1.09,-5.74,1.46,-10.13,870.51,32.82
4555569,-0.0,-0.02,1.1,-5.68,1.28,-10.25,870.55,32.81
4555607,-0.0,-0.03,1.07,-5.68,1.59,-10.31,870.47,32.82
4555657,-0.01,-0.02,1.09,-5.62,2.44,-10.56,870.51,32.82
4555695,-0.02,-0.02,1.09,-5.37,2.69,-10.56,870.52,32.81
4555734,-0.02,-0.03,1.1,-5.31,2.93,-10.5,870.48,32.81
4555772,-0.02,-0.02,1.11,-5.49,3.54,-10.68,870.52,32.81
4555810,-0.01,-0.02,1.1,-5.49,3.72,-10.74,870.5,32.81
4555848,-0.01,-0.02,1.11,-5.43,3.91,-10.8,870.48,32.83
4555886,-0.01,-0.02,1.09,-5.62,3.91,-10.8,870.5,32.82
4555924,-0.01,-0.02,1.12,-5.62,4.09,-10.62,870.48,32.82
4555962,-0.02,-0.02,1.12,-5.98,3.17,-10.44,870.48,32.81
4556012,-0.03,-0.02,1.13,-5.98,3.23,-10.38,870.49,32.81
4556050,-0.01,-0.02,1.14,-5.98,2.99,-10.5,870.49,32.81
4556088,-0.01,-0.0,1.18,-6.35,2.38,-10.38,870.49,32.81
4556126,-0.03,-0.01,1.18,-6.47,1.83,-10.31,870.45,32.8
4556165,-0.03,-0.01,1.2,-6.41,2.14,-10.19,870.48,32.81
4556203,-0.01,-0.01,1.22,-6.59,2.99,-10.25,870.52,32.81
4556241,-0.02,0.0,1.21,-6.65,3.36,-10.38,870.51,32.8
4556279,-0.03,0.01,1.25,-6.65,3.3,-10.25,870.54,32.81
4556317,-0.02,0.0,1.27,-6.16,3.78,-10.31,870.55,32.8
4556367,-0.01,0.01,1.3,-6.35,4.33,-10.38,870.58,32.8
4556405,-0.03,0.01,1.33,-6.16,4.46,-10.25,870.51,32.8
4556443,-0.02,0.01,1.31,-5.86,4.52,-10.19,870.57,32.81
4556481,-0.02,0.02,1.3,-5.92,4.27,-10.25,870.56,32.8
4556520,-0.03,0.01,1.28,-5.86,4.15,-10.19,870.56,32.8
4556558,-0.03,0.01,1.27,-6.04,3.85,-9.89,870.62,32.8
4556596,-0.04,0.01,1.26,-6.23,3.91,-9.7,870.55,32.81
4556634,-0.05,0.01,1.26,-6.1,3.72,-9.46,870.61,32.81
4556672,-0.03,0.0,1.25,-6.23,4.03,-9.46,870.59,32.82
4556710,-0.02,0.01,1.28,-6.65,3.78,-9.64,870.55,32.82
4556787,-0.03,0.01,1.28,-6.53,4.33,-9.28,870.6,32.79
4556825,-0.03,0.01,1.28,-6.53,4.76,-9.4,870.57,32.8
4556864,-0.03,0.01,1.31,-6.41,4.7,-9.28,870.55,32.8
4556953,-0.02,0.03,1.37,-6.41,5.68,-9.28,870.56,32.76
4556991,-0.02,0.02,1.37,-6.47,5.55,-9.28,870.56,32.79
4557029,-0.03,0.02,1.38,-6.41,5.86,-8.97,870.56,32.8
4557068,-0.04,0.02,1.39,-5.8,5.68,-8.91,870.62,32.8
4557106,-0.04,0.02,1.37,-5.68,5.43,-8.73,870.6,32.8
4557144,-0.04,0.03,1.36,-5.37,4.76,-8.54,870.58,32.8
4557194,-0.03,0.02,1.35,-4.82,5.07,-8.36,870.58,32.8
