timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
4963523,-0.02,-0.07,0.98,1.22,2.2,2.26,915.53,21.85,
4963561,-0.01,-0.07,0.99,1.04,2.81,2.08,915.59,21.85,
4963599,-0.02,-0.07,0.98,1.28,2.38,2.2,915.59,21.86,
4963638,-0.02,-0.07,1.0,1.1,2.5,2.14,915.6,21.86,
4963676,-0.02,-0.07,0.99,1.16,2.56,2.01,915.63,21.87,
4963714,-0.02,-0.07,1.01,1.16,2.38,1.95,915.57,21.86,
4963752,-0.02,-0.07,1.01,1.1,2.62,1.95,915.63,21.87,
4963791,-0.02,-0.07,1.03,1.16,2.5,1.83,915.6,21.87,
4963829,-0.02,-0.07,1.02,1.04,2.93,1.95,915.63,21.88,
4963879,-0.02,-0.07,1.01,1.1,2.81,1.83,915.64,21.86,
4963917,-0.02,-0.06,1.02,1.22,2.99,1.71,915.68,21.87,
4963956,-0.02,-0.07,1.02,1.4,3.11,1.77,915.66,21.89,
4963994,-0.02,-0.06,1.03,1.59,2.99,1.77,915.56,21.86,
4964032,-0.03,-0.06,1.04,1.71,3.48,1.59,915.64,21.87,
4964070,-0.01,-0.07,1.05,1.65,3.42,1.59,915.63,21.88,
4964109,-0.02,-0.07,1.05,1.65,3.23,1.59,915.62,21.88,
4964147,-0.03,-0.06,1.03,1.71,3.11,1.53,915.62,21.88,
4964185,-0.02,-0.07,1.01,1.83,3.54,1.77,915.68,21.88,
4964224,-0.02,-0.07,1.01,1.83,3.11,1.53,915.6,21.87,
4964274,-0.03,-0.06,1.0,1.65,2.93,1.83,915.67,21.87,
4964312,-0.03,-0.07,1.0,1.89,3.23,1.65,915.69,21.87,
4964350,-0.02,-0.06,1.0,1.83,3.17,1.59,915.66,21.88,
4964389,-0.02,-0.07,1.01,1.95,3.17,1.53,915.67,21.87,
4964427,-0.03,-0.07,1.0,1.95,3.3,1.59,915.7,21.88,
4964465,-0.02,-0.07,1.01,1.77,3.11,1.59,915.71,21.88,
