timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
3460532,-0.11,-0.07,0.95,2.38,3.48,1.22,983.78,32.73
3460581,-0.12,-0.06,0.96,2.26,3.23,1.28,983.77,32.72
3460619,-0.12,-0.04,0.96,1.65,3.72,1.1,983.73,32.74
3460658,-0.13,-0.03,0.96,1.34,3.17,1.1,983.76,32.73
3460696,-0.13,-0.05,0.99,1.53,2.99,0.92,983.83,32.74
3460734,-0.12,-0.04,1.0,1.28,3.42,0.92,983.8,32.74
3460772,-0.12,-0.01,1.02,1.71,3.23,1.04,983.78,32.74
3460810,-0.14,-0.0,0.99,1.89,3.48,1.28,983.78,32.74
3460848,-0.15,-0.01,0.99,2.26,3.54,1.34,983.72,32.73
3460886,-0.15,-0.01,0.99,2.44,3.85,1.34,983.83,32.74
3460936,-0.14,0.0,0.98,2.62,3.97,1.4,983.71,32.72
3460974,-0.12,0.0,0.98,2.44,4.27,1.16,983.77,32.73
3461012,-0.11,0.0,0.97,2.38,4.03,1.28,983.79,32.74
3461050,-0.13,0.01,0.96,1.95,3.85,1.28,983.74,32.73
3461088,-0.12,0.01,0.97,1.77,3.91,1.16,983.81,32.73
3461127,-0.12,0.0,0.99,1.71,3.91,1.16,983.73,32.74
3461165,-0.12,-0.0,0.99,1.65,3.91,0.98,983.82,32.74
3461203,-0.11,-0.0,0.99,1.4,3.91,1.16,983.71,32.75
3461241,-0.12,0.01,1.0,1.59,3.78,1.16,983.76,32.74
3461279,-0.13,0.01,0.99,2.08,3.66,1.16,983.8,32.73
3461329,-0.13,0.01,0.99,2.08,3.85,1.16,983.78,32.72
3461367,-0.12,0.0,0.99,2.38,3.54,1.1,983.76,32.73
3461405,-0.12,0.01,0.99,2.26,3.54,1.22,983.79,32.74
3461443,-0.11,0.01,0.98,2.08,3.36,1.22,983.76,32.73
3461481,-0.12,0.01,0.97,2.26,3.23,1.16,983.77,32.74
3461519,-0.12,0.01,0.97,2.08,3.3,1.1,983.75,32.73
3461558,-0.12,0.0,0.97,1.83,3.54,1.28,983.74,32.74
3461596,-0.13,0.01,0.98,1.89,3.72,1.28,983.77,32.74
3461634,-0.13,0.0,0.97,1.83,4.03,1.22,983.78,32.74
3461672,-0.13,0.01,0.98,1.77,3.48,1.16,983.78,32.73
3461722,-0.13,0.0,0.98,1.83,3.91,1.22,983.84,32.74
3461760,-0.12,0.0,0.99,2.2,3.85,1.22,983.83,32.74
3461798,-0.14,0.01,1.0,2.2,3.72,1.16,983.62,32.72
3461836,-0.12,0.0,0.99,1.83,4.21,1.34,983.91,32.72
3461874,-0.1,0.03,1.03,1.34,3.85,1.34,983.73,32.74
3461912,-0.17,0.02,0.97,1.89,4.21,1.34,983.77,32.75
