timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
2676513,-0.01,-0.06,1.01,2.5,7.57,1.34,906.28,33.41
2676551,-0.03,-0.06,0.98,2.26,7.45,1.22,906.25,33.4
2676640,0.0,-0.06,0.96,2.69,6.96,1.28,906.24,33.37
2676678,-0.02,-0.06,0.95,2.75,7.02,1.22,906.22,33.4
2676717,-0.03,-0.07,0.83,2.26,8.67,1.34,906.22,33.39
2676755,-0.01,-0.05,0.9,2.69,8.06,1.04,906.13,33.4
2676793,-0.02,-0.08,0.83,2.44,9.46,1.22,906.09,33.38
2676831,-0.02,-0.07,0.81,2.32,8.42,1.22,906.2,33.39
2676869,-0.02,-0.07,0.79,2.2,10.31,0.85,906.13,33.41
2676919,-0.02,-0.07,0.77,2.44,10.01,0.92,906.06,33.39
2676957,-0.02,-0.08,0.72,1.77,10.68,1.16,906.06,33.39
2676995,-0.01,-0.08,0.74,2.14,10.8,0.92,906.03,33.41
2677033,-0.0,-0.06,0.69,1.89,10.56,0.92,906.08,33.39
2677071,-0.01,-0.07,0.63,1.83,10.07,1.22,906.03,33.41
2677109,0.01,-0.08,0.58,1.77,7.51,1.04,905.99,33.4
2677147,0.0,-0.07,0.57,2.14,5.25,1.04,905.9,33.41
2677186,0.02,-0.07,0.46,1.77,3.97,1.1,905.99,33.41
2677224,0.02,-0.05,0.51,2.5,1.22,1.1,905.92,33.4
2677273,0.01,-0.09,0.5,2.44,0.55,1.16,905.95,33.4
2677311,0.03,-0.07,0.58,3.36,-2.5,0.92,905.93,33.41
2677350,0.06,-0.09,0.62,3.23,-1.95,0.24,905.9,33.4
2677388,0.02,-0.06,0.68,3.11,-2.01,0.12,905.98,33.41
2677426,0.02,-0.05,0.78,3.78,-2.38,0.12,905.93,33.41
2677464,0.01,-0.08,0.82,3.11,-1.4,-0.06,905.95,33.4
2677502,-0.0,-0.06,0.91,3.17,-2.14,-0.24,905.97,33.42
2677540,-0.01,-0.06,0.93,2.81,-0.49,-0.43,905.98,33.4
2677578,0.03,-0.06,1.0,2.99,-0.73,-0.67,905.99,33.41
2677616,0.03,-0.07,1.0,2.38,1.34,-0.85,905.99,33.41
2677666,-0.0,-0.05,1.07,2.99,-0.61,-0.92,906.03,33.41
2677704,-0.01,-0.07,1.04,2.32,2.56,-0.79,905.98,33.4
2677742,-0.02,-0.04,1.05,2.08,0.06,-1.04,906.03,33.41
2677780,-0.01,-0.04,1.1,2.08,0.85,-1.16,906.01,33.4
2677818,-0.03,-0.06,1.0,2.08,2.01,-1.22,906.06,33.41
2677856,0.0,-0.05,1.08,2.56,0.67,-1.28,906.06,33.41
2677895,-0.02,-0.06,1.02,2.38,1.95,-1.22,906.05,33.41
2677933,-0.04,-0.04,1.04,2.99,0.92,-0.98,906.07,33.41
2677971,-0.02,-0.05,1.04,2.87,3.17,-1.1,906.04,33.42
2678021,-0.03,-0.06,0.99,2.69,2.5,-1.22,906.01,33.4
2678059,-0.05,-0.06,0.93,2.14,3.05,-1.1,906.1,33.41
2678097,-0.02,-0.05,0.95,2.32,2.93,-1.16,906.05,33.41
2678135,-0.01,-0.06,0.9,1.83,4.88,-1.1,906.04,33.4
2678173,-0.04,-0.05,0.88,1.95,4.27,-0.79,906.09,33.41
2678211,-0.05,-0.06,0.9,2.01,4.21,-0.67,906.06,33.41
2678249,-0.04,-0.07,0.86,1.4,5.55,-0.85,906.05,33.41
2678287,-0.03,-0.05,0.92,1.34,4.76,-0.92,906.06,33.42
2678326,-0.03,-0.06,0.92,1.04,5.98,-0.73,906.03,33.4
2678364,-0.02,-0.07,0.89,0.43,5.68,-0.73,905.99,33.42
2678413,-0.03,-0.05,0.98,0.18,6.41,-0.61,906.02,33.4
2678452,-0.02,-0.06,0.97,-0.55,6.04,-0.49,906.06,33.4
2678490,-0.03,-0.05,1.04,-0.92,4.88,-0.55,905.99,33.41
2678528,-0.03,-0.05,1.02,-1.28,6.29,-0.55,906.07,33.42
2678566,-0.01,-0.05,1.05,-1.34,5.49,-0.49,906.1,33.41
2678604,-0.01,-0.04,1.07,-1.04,4.58,-0.55,906.05,33.4
2678642,-0.05,-0.04,1.05,-0.61,4.82,-0.24,906.05,33.41
2678680,-0.02,-0.03,1.07,-0.49,5.25,-0.18,906.08,33.41
2678718,-0.0,-0.04,1.12,0.43,4.64,-0.49,906.05,33.4
2678768,-0.04,-0.05,1.05,1.1,4.58,-0.18,906.1,33.41
2678806,-0.03,-0.04,1.05,1.71,3.78,-0.31,906.03,33.41
2678844,-0.01,-0.04,1.04,1.71,4.82,-0.43,906.1,33.42
2678882,-0.03,-0.04,1.06,2.08,3.6,-0.31,906.08,33.41
2678920,-0.04,-0.05,1.03,2.08,3.6,-0.06,906.06,33.42
2678958,-0.03,-0.05,1.06,2.81,3.11,-0.37,906.04,33.42
2678996,-0.04,-0.04,1.03,2.99,3.42,-0.24,906.02,33.42
2679034,-0.03,-0.04,1.03,3.66,2.38,-0.18,906.08,33.41
2679072,-0.02,-0.04,1.02,3.78,2.93,-0.24,906.09,33.4
2679111,-0.03,-0.05,1.0,4.52,2.81,-0.12,906.06,33.41
2679160,-0.04,-0.05,0.96,5.07,2.26,0.0,906.08,33.39
2679198,-0.04,-0.05,0.94,4.82,2.32,0.12,906.09,33.42
2679237,-0.02,-0.05,0.91,4.64,1.83,0.12,906.1,33.4
2679275,-0.02,-0.05,0.88,4.03,1.71,0.0,906.02,33.42
2679313,-0.01,-0.06,0.89,3.54,0.98,-0.06,906.06,33.41
2679351,-0.01,-0.06,0.87,2.69,1.1,0.0,906.05,33.41
2679389,-0.03,-0.05,0.88,2.75,-0.06,0.24,906.09,33.4
2679427,-0.03,-0.06,0.86,2.32,0.61,0.06,906.06,33.42
2679465,-0.03,-0.06,0.79,1.95,0.61,-0.06,906.13,33.41
2679541,-0.04,-0.07,0.77,1.77,0.37,0.49,906.07,33.37
2679579,-0.02,-0.05,0.79,1.71,-0.12,0.12,906.08,33.39
2679617,-0.03,-0.05,0.82,1.83,0.18,0.31,906.1,33.4
2679706,-0.04,-0.06,0.85,1.77,1.71,0.49,906.11,33.35
2679744,-0.04,-0.05,0.84,1.59,1.89,0.31,906.1,33.37
2679783,-0.04,-0.05,0.81,1.4,3.36,0.49,906.12,33.37
2679821,-0.04,-0.05,0.8,1.4,4.76,0.43,906.16,33.38
2679859,-0.04,-0.05,0.82,1.59,5.68,0.37,906.07,33.37
2679897,-0.05,-0.05,0.8,1.34,7.39,0.55,906.07,33.39
2679935,-0.03,-0.05,0.82,1.22,8.91,0.61,906.16,33.39
2679985,-0.04,-0.05,0.88,1.4,10.07,0.67,906.06,33.37
2680023,-0.03,-0.05,0.87,1.16,10.74,0.79,906.12,33.39
2680061,-0.01,-0.05,0.91,1.16,9.64,1.1,906.1,33.39
2680099,-0.03,-0.05,0.87,1.16,10.07,1.22,906.12,33.41
