timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
7110523,-0.03,-0.04,1.1,1.16,2.14,1.4,983.35,22.11,
7110561,-0.03,-0.05,1.03,0.67,1.83,1.65,983.31,22.1,
7110599,-0.05,-0.06,1.01,1.1,2.32,1.83,983.37,22.1,
7110637,-0.02,-0.09,1.06,1.28,2.93,1.22,983.32,22.11,
7110676,-0.03,-0.04,1.1,1.59,0.98,1.71,983.16,22.11,
7110726,-0.03,-0.05,1.09,1.53,1.53,1.71,983.1,22.11,
7110764,-0.04,-0.04,1.05,1.16,1.83,1.53,983.31,22.11,
7110802,-0.03,-0.05,1.03,1.34,1.71,1.83,983.17,22.11,
7110840,-0.05,-0.08,1.02,1.1,2.44,1.95,983.29,22.12,
7110879,-0.03,-0.06,1.03,1.22,2.2,1.53,983.22,22.11,
7110917,-0.03,-0.04,1.0,0.79,3.48,1.83,983.29,22.11,
7110955,-0.02,-0.05,1.08,1.04,2.32,1.83,983.18,22.12,
7110994,-0.03,-0.05,1.05,1.28,2.75,1.95,983.13,22.11,
7111032,-0.03,-0.04,1.1,1.53,1.89,1.95,983.08,22.12,
7111070,-0.06,-0.05,1.04,1.46,3.3,2.08,983.08,22.12,
7111120,-0.03,-0.03,1.09,1.83,2.99,1.95,983.02,22.11,
7111158,-0.02,-0.04,1.07,1.46,3.66,1.95,982.89,22.11,
7111197,-0.03,-0.04,1.07,1.53,3.54,2.08,982.77,22.12,
7111235,-0.02,-0.03,1.12,1.89,3.97,2.01,982.69,22.12,
7111273,-0.03,-0.04,1.07,1.59,4.03,2.01,982.6,22.12,
7111312,-0.03,-0.02,1.1,1.89,3.54,2.14,982.49,22.13,
7111350,-0.04,-0.01,1.15,1.71,3.6,2.5,982.33,22.13,
7111388,-0.02,-0.02,1.17,1.53,3.23,2.62,982.17,22.12,
7111426,-0.02,-0.04,1.18,1.1,3.3,2.75,982.28,22.12,
7111476,-0.03,-0.02,1.19,1.28,1.83,2.93,982.2,22.11,
7111515,-0.02,-0.03,1.15,1.46,2.93,3.11,982.09,22.11,
7111553,-0.0,-0.02,1.16,1.22,2.44,2.87,981.92,22.11,
7111591,-0.02,-0.02,1.16,1.34,2.08,3.17,981.89,22.13,
7111630,-0.04,-0.03,1.13,1.28,1.34,3.42,981.91,22.12,
7111668,-0.03,-0.03,1.2,1.04,0.67,3.36,981.88,22.11,
