timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
5941501,-0.12,0.01,0.98,1.95,3.23,1.34,982.88,31.05
5941539,-0.14,0.02,0.98,1.89,3.6,1.4,982.88,31.04
5941577,-0.13,0.02,0.98,1.89,3.6,1.28,982.96,31.05
5941615,-0.12,0.01,0.99,2.08,3.36,1.34,982.95,31.05
5941653,-0.12,0.02,0.98,2.01,3.42,1.34,982.89,31.05
5941703,-0.13,0.02,0.99,2.01,3.23,1.4,982.89,31.05
5941741,-0.13,0.02,0.98,1.83,3.42,1.22,982.96,31.06
5941779,-0.12,0.02,0.99,2.01,3.72,1.22,982.89,31.05
5941818,-0.12,0.02,0.99,1.89,3.54,1.34,982.87,31.06
5941856,-0.12,0.02,0.99,1.83,3.3,1.4,982.92,31.06
5941894,-0.12,0.02,0.99,1.77,3.48,1.22,982.9,31.05
5941932,-0.12,0.01,0.98,1.89,3.48,1.22,982.9,31.06
5941970,-0.14,0.02,0.98,2.08,3.36,1.28,982.94,31.05
5942008,-0.14,0.02,0.99,1.89,3.36,1.34,982.91,31.06
5942058,-0.12,0.01,0.99,2.2,3.23,1.16,982.97,31.05
5942096,-0.12,0.01,0.98,1.89,3.23,1.28,982.93,31.05
5942134,-0.12,0.02,0.98,1.89,3.54,1.22,982.92,31.05
5942172,-0.13,0.02,0.98,1.83,3.36,1.22,982.96,31.06
5942210,-0.13,0.02,0.98,1.83,3.36,1.22,982.92,31.05
5942248,-0.12,0.02,0.97,1.83,3.42,1.28,982.95,31.06
5942286,-0.13,0.02,0.99,1.83,3.36,1.28,982.89,31.06
5942324,-0.14,0.02,0.98,1.83,3.36,1.22,982.94,31.06
5942363,-0.14,0.02,0.99,1.95,3.6,1.28,982.94,31.06
5942401,-0.12,0.01,0.98,1.83,3.42,1.28,982.88,31.06
5942476,-0.12,0.02,0.98,1.95,3.66,1.4,982.95,31.03
5942515,-0.12,0.02,0.98,1.95,3.48,1.46,982.96,31.04
5942553,-0.13,0.02,0.98,1.89,3.23,1.28,982.9,31.04
5942642,-0.13,0.02,0.99,1.83,3.3,1.16,982.92,31.02
5942680,-0.13,0.01,0.99,2.01,3.23,1.16,982.93,31.03
5942718,-0.12,0.02,0.98,1.89,3.3,1.34,982.94,31.04
5942757,-0.12,0.02,0.98,1.95,3.3,1.28,982.92,31.04
5942795,-0.13,0.02,0.98,1.83,3.17,1.34,982.92,31.03
5942833,-0.13,0.03,0.99,1.89,3.17,1.34,982.9,31.04
5942871,-0.14,0.02,0.99,1.77,3.48,1.28,982.93,31.04
5942921,-0.14,0.02,0.99,1.95,3.42,1.22,982.92,31.03
5942959,-0.13,0.01,0.98,2.01,3.48,1.34,982.9,31.05
5942997,-0.13,0.01,0.98,1.95,3.48,1.34,982.89,31.04
5943035,-0.13,0.01,0.98,1.89,3.3,1.28,982.94,31.05
5943073,-0.12,0.01,0.98,1.83,3.72,1.34,982.91,31.06
5943111,-0.11,0.02,0.99,1.83,3.54,1.34,982.96,31.05
5943150,-0.12,0.02,0.99,1.65,3.42,1.28,982.96,31.06
5943188,-0.13,0.02,0.98,1.95,3.48,1.34,982.95,31.06
5943226,-0.13,0.02,0.99,2.01,3.3,1.28,982.92,31.06
5943264,-0.13,0.01,0.99,1.95,3.48,1.04,982.93,31.05
5943314,-0.12,0.02,0.98,2.01,3.48,1.28,982.91,31.05
5943352,-0.13,0.02,0.98,1.83,3.54,1.16,982.94,31.06
5943390,-0.12,0.02,0.99,1.95,3.42,1.28,982.92,31.06
5943428,-0.12,0.02,0.99,1.89,3.3,1.22,982.94,31.07
5943466,-0.12,0.02,0.98,1.89,3.23,1.22,982.9,31.06
5943504,-0.13,0.02,0.98,1.71,3.23,1.4,982.95,31.06
5943542,-0.13,0.02,0.99,1.77,3.23,1.34,982.9,31.04
5943580,-0.13,0.02,0.99,2.08,3.23,1.4,982.92,31.06
5943619,-0.13,0.01,0.99,2.01,3.6,1.22,982.94,31.07
5943657,-0.13,0.01,0.98,1.89,3.6,1.34,982.9,31.06
5943707,-0.12,0.02,0.99,1.95,3.36,1.4,982.95,31.05
5943745,-0.13,0.02,0.98,1.71,3.91,1.46,982.9,31.06
5943783,-0.13,0.02,0.98,1.89,3.78,1.22,982.97,31.06
5943821,-0.13,0.02,0.97,1.71,3.72,1.34,982.92,31.06
5943859,-0.12,0.02,0.99,1.83,3.36,1.16,982.92,31.05
5943897,-0.11,0.01,0.99,1.77,3.48,1.22,982.95,31.06
5943935,-0.12,0.02,0.99,1.83,3.6,1.34,982.91,31.06
5943973,-0.13,0.03,0.99,2.01,3.66,1.4,982.97,31.07
5944012,-0.13,0.02,0.98,2.2,3.6,1.28,982.93,31.06
5944050,-0.12,0.02,0.98,1.89,3.17,1.28,982.88,31.06
5944100,-0.12,0.01,0.98,1.89,3.42,1.16,982.92,31.06
5944138,-0.12,0.02,0.99,1.89,3.17,1.28,982.92,31.06
5944176,-0.13,0.01,0.97,1.89,3.23,1.28,982.94,31.06
5944214,-0.12,0.02,0.98,1.77,3.23,1.28,982.93,31.06
5944252,-0.13,0.02,0.99,1.83,3.11,1.34,982.88,31.06
5944290,-0.13,0.02,1.0,1.83,3.11,1.22,982.93,31.06
5944328,-0.13,0.02,0.98,1.83,3.48,1.28,982.9,31.06
5944366,-0.13,0.02,0.98,1.89,3.6,1.28,982.91,31.06
5944405,-0.14,0.01,0.98,2.14,3.42,1.16,982.94,31.06
5944443,-0.13,0.02,0.98,2.08,3.48,1.34,982.93,31.07
5944492,-0.12,0.01,0.99,2.08,3.42,1.22,982.93,31.05
5944531,-0.12,0.01,0.97,1.89,3.54,1.34,982.96,31.07
5944569,-0.13,0.01,0.98,1.95,3.36,1.34,982.91,31.06
5944607,-0.14,0.01,0.98,1.95,3.6,1.34,982.87,31.05
5944645,-0.13,0.02,0.99,2.08,3.36,1.4,982.92,31.06
5944683,-0.12,0.01,0.99,1.95,3.42,1.28,982.92,31.06
5944721,-0.12,0.02,0.98,1.59,3.42,1.16,982.94,31.06
5944759,-0.12,0.02,0.98,1.71,3.54,1.22,982.89,31.07
5944797,-0.12,0.02,0.99,1.83,3.36,1.22,982.87,31.06
5944847,-0.12,0.01,0.99,1.83,3.42,1.22,982.91,31.06
5944885,-0.13,0.02,0.98,1.89,3.36,1.28,982.93,31.06
5944923,-0.13,0.02,0.98,1.95,3.36,1.22,982.93,31.07
5944961,-0.13,0.02,0.99,1.95,3.36,1.28,982.88,31.06
5944999,-0.13,0.02,0.98,1.95,3.42,1.16,982.87,31.07
5945038,-0.13,0.02,0.98,1.65,3.42,1.22,982.88,31.07
5945076,-0.12,0.02,0.98,1.83,3.17,1.1,982.89,31.07
5945114,-0.12,0.02,0.99,1.71,3.17,1.16,982.95,31.08
5945152,-0.12,0.02,0.99,1.89,3.36,1.16,982.95,31.07
5945190,-0.13,0.01,0.99,1.77,3.42,1.22,982.86,31.07
5945240,-0.14,0.02,0.99,1.95,3.54,1.28,982.91,31.05
5945278,-0.13,0.01,0.98,1.89,3.66,1.1,982.94,31.08
5945316,-0.12,0.01,0.98,1.83,3.42,1.16,982.89,31.08
5945354,-0.12,0.01,0.98,1.89,3.48,1.22,982.94,31.06
5945392,-0.12,0.02,0.98,1.83,3.48,1.22,982.92,31.07
5945430,-0.13,0.02,0.99,1.89,3.48,1.4,982.95,31.07
5945468,-0.13,0.02,0.99,1.89,3.3,1.34,982.92,31.07
5945506,-0.12,0.03,0.98,1.83,3.66,1.22,982.91,31.08
5945545,-0.13,0.02,0.99,2.08,3.23,1.34,982.94,31.07
5945583,-0.13,0.02,0.99,2.2,3.23,1.28,982.93,31.08
5945658,-0.13,0.01,1.0,2.01,3.48,1.28,982.91,31.04
5945697,-0.13,0.02,0.98,1.83,3.48,1.28,982.94,31.06
5945735,-0.11,0.02,0.98,1.83,3.23,1.46,982.91,31.05
5945824,-0.13,0.02,0.98,1.83,3.23,1.28,982.93,31.02
5945862,-0.16,0.02,0.98,1.95,3.05,1.28,982.91,31.04
5945900,-0.14,0.03,0.99,1.83,3.36,1.28,982.91,31.04
5945938,-0.12,0.01,0.99,2.08,3.3,1.1,982.91,31.05
5945977,-0.12,0.01,0.99,1.89,3.3,1.22,982.92,31.04
5946015,-0.12,0.0,0.99,2.2,3.23,1.34,982.96,31.05
5946053,-0.12,0.01,0.97,2.01,3.6,1.4,982.94,31.05
5946103,-0.15,0.01,0.98,1.95,3.6,1.28,982.94,31.04
5946141,-0.13,0.02,0.97,1.83,3.72,1.28,982.91,31.06
5946179,-0.13,0.02,0.98,1.65,3.72,1.28,982.97,31.05
5946217,-0.13,0.01,0.99,1.95,3.42,1.16,982.95,31.06
5946255,-0.12,0.01,1.01,1.83,3.48,1.34,982.93,31.06
5946293,-0.12,0.02,1.0,1.89,3.48,1.16,982.93,31.06
5946331,-0.11,0.03,0.98,2.01,3.48,1.28,982.94,31.06
5946369,-0.11,0.03,0.99,1.89,3.17,1.16,983.0,31.07
5946408,-0.13,0.01,0.98,1.89,3.3,1.22,982.95,31.06
5946446,-0.15,0.02,0.97,1.83,3.17,1.28,982.87,31.05
5946495,-0.13,0.01,0.99,1.89,2.99,1.22,982.96,31.06
5946534,-0.13,0.01,1.0,1.83,2.75,1.28,982.91,31.05
5946572,-0.12,0.02,0.99,1.71,3.11,1.28,982.96,31.06
5946610,-0.12,0.01,0.98,2.08,3.42,1.34,982.93,31.06
5946648,-0.13,0.01,0.98,1.89,3.17,1.34,982.89,31.06
5946686,-0.14,0.02,0.99,2.14,2.81,1.22,982.93,31.07
5946724,-0.14,0.02,0.96,1.83,3.23,1.16,982.93,31.08
5946762,-0.14,0.01,0.98,2.14,3.54,1.22,983.0,31.07
5946800,-0.12,0.03,1.0,1.89,3.72,1.22,982.89,31.07
5946838,-0.13,0.05,0.98,1.89,3.78,1.22,982.93,31.07
5946888,-0.13,0.05,0.97,1.77,3.66,1.4,982.98,31.06
5946926,-0.12,0.03,0.99,1.89,3.6,1.34,983.0,31.06
5946964,-0.13,0.03,1.0,1.89,3.42,1.22,982.96,31.08
5947003,-0.13,0.01,1.0,1.89,3.66,1.59,982.95,31.08
5947041,-0.11,-0.0,0.98,2.01,3.42,1.4,982.91,31.08
5947079,-0.13,-0.02,0.99,1.89,3.48,1.4,982.95,31.08
5947117,-0.13,-0.01,0.99,1.83,3.3,1.46,982.89,31.08
5947155,-0.12,-0.0,0.98,1.83,3.23,1.46,982.87,31.07
5947193,-0.11,0.0,0.98,1.71,3.23,1.34,982.93,31.07
5947243,-0.11,0.0,0.98,1.71,3.11,1.28,982.96,31.07
5947281,-0.11,0.03,0.99,1.65,3.23,1.28,982.92,31.07
5947319,-0.14,0.03,0.99,1.71,3.11,1.1,982.95,31.08
5947357,-0.14,0.02,0.99,1.65,3.3,1.22,982.96,31.07
