timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
3376514,-0.06,-0.01,1.09,2.44,6.04,1.22,952.44,32.82
3376552,-0.07,-0.03,1.06,1.95,6.96,1.59,952.42,32.81
3376602,-0.06,-0.02,1.11,2.62,5.86,1.53,952.51,32.82
3376640,-0.07,-0.02,1.08,2.5,6.71,2.01,952.47,32.81
3376678,-0.05,-0.02,1.11,3.05,5.49,2.08,952.52,32.82
3376716,-0.05,-0.04,1.02,2.69,6.41,2.2,952.5,32.81
3376754,-0.06,-0.04,0.97,3.05,5.19,2.26,952.51,32.81
3376793,-0.06,-0.04,0.91,2.99,5.74,2.38,952.51,32.82
3376831,-0.05,-0.04,0.88,2.93,4.46,2.56,952.48,32.8
3376869,-0.03,-0.04,0.86,2.75,5.13,2.56,952.56,32.82
3376907,-0.04,-0.04,0.89,2.56,3.78,2.62,952.51,32.81
3376945,-0.05,-0.05,0.91,1.89,4.15,2.75,952.53,32.81
3376995,-0.03,-0.05,0.94,1.53,3.36,2.62,952.56,32.8
3377033,-0.04,-0.04,0.95,1.28,3.11,2.75,952.59,32.8
3377071,-0.04,-0.04,0.93,0.85,2.99,2.81,952.63,32.8
3377109,-0.05,-0.04,0.96,1.16,2.69,2.69,952.57,32.81
3377147,-0.04,-0.05,0.94,0.85,3.54,2.62,952.61,32.8
3377185,-0.03,-0.04,0.98,0.98,2.62,2.81,952.61,32.81
3377224,-0.04,-0.04,0.96,0.85,2.99,2.69,952.66,32.81
3377262,-0.04,-0.04,0.98,0.98,2.75,2.5,952.67,32.8
3377300,-0.03,-0.04,1.0,0.85,2.93,2.56,952.66,32.81
3377338,-0.02,-0.04,0.98,0.73,2.69,2.38,952.62,32.8
3377388,-0.04,-0.04,0.98,0.73,2.56,2.32,952.65,32.8
3377426,-0.03,-0.05,0.97,0.61,2.62,2.2,952.6,32.81
3377464,-0.02,-0.04,0.97,0.61,2.81,2.01,952.66,32.8
3377502,-0.03,-0.04,0.98,0.92,2.5,2.08,952.67,32.81
3377540,-0.03,-0.05,0.96,0.79,3.36,2.01,952.62,32.81
3377579,-0.02,-0.04,0.96,0.98,3.17,1.77,952.74,32.81
3377617,-0.02,-0.04,0.99,1.1,3.17,1.83,952.67,32.8
3377655,-0.02,-0.04,0.99,0.85,3.05,1.71,952.72,32.81
3377693,-0.03,-0.04,1.01,0.79,2.62,1.4,952.67,32.81
3377743,-0.01,-0.04,1.02,0.37,2.81,1.65,952.72,32.79
3377781,-0.02,-0.03,1.07,0.18,1.53,1.4,952.7,32.8
3377819,-0.03,-0.03,1.1,0.18,1.16,1.59,952.75,32.81
3377857,-0.02,-0.02,1.12,-0.37,0.85,1.46,952.75,32.82
3377895,-0.03,-0.02,1.16,-0.31,-0.12,1.16,952.76,32.81
3377934,-0.03,-0.04,1.16,-0.55,0.55,1.34,952.71,32.8
3377972,-0.02,-0.03,1.14,-0.31,0.43,1.22,952.72,32.82
3378010,-0.02,-0.02,1.13,-0.37,1.28,0.79,952.76,32.81
3378048,-0.01,-0.02,1.07,-0.12,0.92,0.55,952.82,32.8
3378086,-0.02,-0.02,1.11,0.18,0.55,0.43,952.75,32.8
3378136,-0.02,-0.03,1.11,0.67,2.01,0.18,952.8,32.79
