timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
431,0.1,0.09,0.94,0.18,1.95,1.71,988.69,25.04,
469,0.11,0.09,0.97,3.05,3.48,1.34,988.66,25.06,
507,0.11,0.09,0.97,1.89,2.99,1.4,988.71,25.08,
545,0.11,0.09,0.97,1.89,2.81,1.4,988.71,25.1,
583,0.11,0.09,0.97,1.77,2.93,1.46,988.68,25.11,
621,0.11,0.09,0.97,1.83,2.62,1.59,988.74,25.12,
659,0.11,0.09,0.97,1.83,2.81,1.4,988.7,25.12,
698,0.11,0.09,0.97,1.95,2.75,1.65,988.71,25.14,
736,0.11,0.09,0.97,1.89,2.69,1.28,988.66,25.15,
774,0.11,0.09,0.97,1.83,2.93,1.34,988.67,25.16,
812,0.11,0.09,0.97,1.89,2.93,1.4,988.73,25.16,
874,0.11,0.09,0.97,1.89,2.81,1.4,988.72,25.16,
912,0.11,0.09,0.97,1.89,2.69,1.34,988.68,25.16,
951,0.11,0.09,0.97,1.83,2.87,1.46,988.7,25.16,
1040,0.1,0.09,0.97,2.01,2.81,1.46,988.72,25.15,
1079,0.11,0.09,0.98,1.83,2.81,1.46,988.71,25.15,
1117,0.11,0.09,0.97,1.89,2.99,1.4,988.66,25.16,
1155,0.1,0.08,0.97,1.95,2.87,1.28,988.7,25.16,
1193,0.11,0.09,0.98,1.71,3.05,1.59,988.7,25.18,
1231,0.11,0.09,0.98,1.89,2.75,1.28,988.71,25.18,
1270,0.11,0.1,0.97,1.59,2.87,1.4,988.67,25.19,
1308,0.11,0.09,0.97,1.65,2.99,1.46,988.73,25.19,
1358,0.11,0.09,0.98,2.01,2.75,1.34,988.66,25.18,
1396,0.11,0.09,0.97,1.77,2.93,1.34,988.72,25.19,
1434,0.11,0.09,0.97,1.83,2.93,1.4,988.74,25.19,
1472,0.11,0.09,0.98,1.71,2.62,1.46,988.69,25.2,
1510,0.11,0.09,0.98,1.89,2.87,1.46,988.68,25.21,
1548,0.11,0.09,0.97,2.08,2.81,1.59,988.78,25.21,
1586,0.11,0.09,0.97,1.95,2.87,1.53,988.72,25.21,
1625,0.11,0.06,0.98,1.71,3.05,1.4,988.69,25.2,
1663,0.11,0.09,0.97,1.83,2.87,1.46,988.76,25.21,
1701,0.11,0.09,0.98,1.77,2.75,1.4,988.75,25.22,
1739,0.11,0.09,0.97,1.77,2.87,1.46,988.68,25.21,
1789,0.11,0.09,0.98,2.01,2.81,1.4,988.71,25.2,
