timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
579,0.05,-0.0,0.98,-0.31,3.6,2.01,984.25,31.86
617,0.05,0.01,0.96,2.26,3.66,1.4,984.22,31.87
655,0.05,-0.0,0.98,2.75,3.3,1.34,984.23,31.9
694,0.03,-0.01,0.97,1.16,3.11,0.37,984.24,31.92
732,0.04,0.01,0.97,1.34,2.93,1.89,984.2,31.93
770,0.04,0.01,0.97,1.71,3.54,2.14,984.18,31.92
808,0.04,0.02,0.97,0.06,4.46,2.44,984.21,31.94
846,0.03,0.0,0.97,1.16,3.97,1.95,984.19,31.96
884,0.05,0.01,0.97,1.77,3.17,2.2,984.26,31.96
922,0.05,0.0,0.98,1.4,2.69,1.59,984.19,31.96
960,0.05,0.02,0.96,0.73,4.09,1.89,984.24,31.98
1355,0.06,0.01,0.97,0.55,4.39,1.34,984.23,31.91
1393,0.05,0.01,0.99,2.62,2.87,0.49,984.21,31.94
1431,0.05,-0.0,1.0,4.7,5.0,1.4,984.18,31.94
1521,0.04,0.01,0.94,11.11,5.31,0.06,984.17,31.94
1559,0.02,0.02,0.97,-0.55,5.31,2.01,984.21,31.98
1597,0.06,0.01,0.99,1.65,4.03,2.01,984.21,31.98
1635,0.06,0.0,0.98,1.59,3.91,1.89,984.21,31.99
1673,0.05,-0.0,0.98,2.5,3.42,1.77,984.26,32.01
1711,0.05,0.0,0.98,2.08,4.46,1.77,984.29,32.02
1749,0.04,-0.0,0.99,2.38,2.93,1.77,984.22,32.01
1787,0.04,-0.0,0.98,2.26,3.05,1.71,984.19,32.03
1837,0.05,0.0,0.98,1.95,3.23,1.71,984.21,32.01
1875,0.05,0.0,0.97,2.08,3.54,1.83,984.27,32.03
1913,0.05,0.0,0.97,2.14,3.78,1.89,984.25,32.04
1951,0.05,-0.0,0.98,2.08,3.36,1.71,984.15,32.05
1989,0.05,-0.0,0.99,2.14,3.17,1.83,984.22,32.05
2027,0.05,-0.0,0.98,2.01,3.23,1.77,984.2,32.07
2065,0.05,0.0,0.98,1.95,3.78,1.83,984.25,32.07
2103,0.05,0.0,0.98,2.08,3.72,1.83,984.23,32.07
2141,0.05,-0.0,0.98,2.08,3.42,1.77,984.23,32.07
2179,0.05,-0.0,0.98,1.95,3.42,1.89,984.21,32.09
2229,0.05,0.0,0.98,2.08,3.54,1.77,984.28,32.07
2267,0.05,0.0,0.98,1.89,3.36,1.77,984.22,32.08
