timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
1852501,-0.09,0.16,1.06,-0.12,1.77,-0.49,984.43,35.41
1852539,-0.03,0.12,1.03,-1.22,3.72,0.06,984.35,35.4
1852577,0.0,0.15,1.09,-0.37,1.83,0.31,984.43,35.4
1852615,-0.04,0.17,1.03,-0.61,4.64,0.67,984.33,35.42
1852653,-0.08,0.15,1.02,0.18,2.14,1.04,984.37,35.42
1852703,-0.08,0.16,0.98,-0.61,5.74,1.4,984.36,35.4
1852741,-0.02,0.16,1.03,-0.67,2.14,1.59,984.45,35.41
1852779,-0.09,0.16,1.04,-0.98,2.08,2.32,984.4,35.4
1852817,0.01,0.16,1.08,-0.49,2.81,2.08,984.39,35.41
1852855,-0.02,0.19,1.16,0.31,4.39,2.44,984.44,35.42
1852893,-0.03,0.18,1.1,1.71,4.21,2.87,984.35,35.41
1852931,-0.08,0.16,1.06,3.3,2.62,3.05,984.45,35.42
1852969,-0.06,0.19,1.11,4.39,3.85,3.36,984.35,35.42
1853007,-0.03,0.16,1.1,5.98,3.78,3.78,984.38,35.41
1853045,-0.02,0.15,1.0,6.47,4.15,3.66,984.33,35.42
1853095,-0.01,0.15,0.94,7.32,3.72,3.97,984.35,35.41
1853133,-0.01,0.14,1.0,8.79,4.76,4.21,984.35,35.4
1853171,-0.02,0.14,0.96,9.34,2.93,4.7,984.38,35.41
1853209,-0.09,0.13,0.78,8.97,4.21,5.25,984.33,35.43
1853247,-0.02,0.14,0.8,8.91,3.6,4.94,984.34,35.42
1853285,0.01,0.15,0.82,7.87,4.94,4.58,984.34,35.43
1853323,0.01,0.1,0.71,6.77,3.3,4.82,984.3,35.41
1853361,0.01,0.11,0.76,5.55,5.07,5.0,984.34,35.42
1853399,-0.05,0.14,0.84,5.19,5.8,5.13,984.38,35.42
1853437,-0.02,0.09,0.76,3.36,3.91,5.49,984.36,35.42
1853487,-0.04,0.09,0.77,2.93,3.6,5.07,984.36,35.41
1853525,-0.01,0.09,0.81,2.44,4.88,4.7,984.39,35.42
1853563,0.03,0.08,0.85,1.89,3.05,4.88,984.39,35.43
1853601,-0.02,0.08,0.81,0.98,4.21,5.07,984.33,35.42
1853639,-0.01,0.09,0.81,0.61,3.48,4.94,984.34,35.42
1853677,0.0,0.07,0.94,-0.55,6.35,4.76,984.34,35.43
1853715,0.02,0.06,0.92,-1.53,4.39,4.82,984.38,35.43
1853753,-0.04,0.08,1.01,-1.16,2.81,4.58,984.3,35.42
1853791,0.01,0.07,1.02,-0.85,5.55,4.39,984.4,35.42
1853841,0.01,0.06,1.01,-0.79,3.97,4.39,984.29,35.42
1853879,-0.02,0.09,0.93,-1.89,4.33,4.64,984.35,35.42
1853917,-0.01,0.09,1.09,-1.22,3.23,4.58,984.31,35.43
1853955,0.01,0.08,1.13,-1.95,5.92,4.33,984.4,35.42
1853993,-0.03,0.09,1.1,-1.53,5.07,4.27,984.38,35.42
